Month,Severe
1/1/2006,17
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,8
12/1/2006,24
1/1/2007,27
2/1/2007,8
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,4
12/1/2007,21
1/1/2008,15
2/1/2008,13
3/1/2008,0
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,3
11/1/2008,10
12/1/2008,19
1/1/2009,18
2/1/2009,15
3/1/2009,0
4/1/2009,0
5/1/2009,0
6/1/2009,0
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0
11/1/2009,3
12/1/2009,15
1/1/2010,26
2/1/2010,13
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,0
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,8
12/1/2010,30
1/1/2011,26
2/1/2011,19
3/1/2011,0
4/1/2011,0
5/1/2011,0
6/1/2011,0
7/1/2011,0
8/1/2011,0
9/1/2011,0
10/1/2011,4
11/1/2011,23
12/1/2011,23
1/1/2012,26
2/1/2012,13
3/1/2012,0
4/1/2012,0
5/1/2012,0
6/1/2012,0
7/1/2012,0
8/1/2012,0
9/1/2012,0
10/1/2012,0
11/1/2012,5
12/1/2012,30
1/1/2013,30
2/1/2013,30
3/1/2013,10
4/1/2013,0
5/1/2013,0
6/1/2013,0
7/1/2013,0
8/1/2013,0
9/1/2013,0
10/1/2013,0
11/1/2013,17
12/1/2013,27
1/1/2014,30
2/1/2014,30
3/1/2014,3
4/1/2014,0
5/1/2014,0
6/1/2014,0
7/1/2014,0
8/1/2014,0
9/1/2014,0
10/1/2014,0
11/1/2014,17
12/1/2014,30
1/1/2015,23
2/1/2015,15
3/1/2015,0
4/1/2015,0
5/1/2015,0
6/1/2015,0
7/1/2015,0
8/1/2015,0
9/1/2015,0
10/1/2015,3
11/1/2015,13
12/1/2015,19
1/1/2016,30
2/1/2016,22
3/1/2016,0
4/1/2016,0
5/1/2016,0
6/1/2016,0
7/1/2016,0
8/1/2016,0
9/1/2016,0
10/1/2016,6
11/1/2016,26
12/1/2016,30
1/1/2017,30
2/1/2017,22
3/1/2017,3
4/1/2017,0
5/1/2017,0
6/1/2017,0
7/1/2017,0
8/1/2017,0
9/1/2017,3
10/1/2017,0
11/1/2017,13
12/1/2017,26
1/1/2018,30
2/1/2018,21
3/1/2018,0
4/1/2018,0
5/1/2018,0
6/1/2018,0
7/1/2018,0
8/1/2018,0
9/1/2018,0
10/1/2018,7
11/1/2018,20
12/1/2018,24
1/1/2019,30
2/1/2019,23
3/1/2019,0
4/1/2019,4
5/1/2019,0
6/1/2019,0
7/1/2019,0
8/1/2019,0
9/1/2019,0
10/1/2019,3
11/1/2019,19
12/1/2019,23
1/1/2020,27
2/1/2020,27
3/1/2020,10
